sample_id,prediction,gold_reference,variant_references,BLEU_gold,ROUGE-L_gold,BERTScore_F1_gold,BLEU_variants,ROUGE-L_variants,BERTScore_F1_variants
1_0,"<think>

</think>

C: I'm sorry to hear that. Can you tell me a bit more about what's been going on?","C: I’m sorry to hear that, can you explain why that is the case?"," • ""Can you tell me what's been going on and why you're feeling that way?""
 • ""What's been bothering you lately, can you explain it to me?""
 • ""I'm concerned about your well-being; could you share more about what's been troubling you?""
 • ""You mentioned you haven't been doing well; can you elaborate on the reasons behind that?""
 • ""Can you give me some context about why things have been difficult for you lately?""
 • ""How are you experiencing these challenges, and what do you think is contributing to them?""
 • ""I'd like to better understand your situation; can you walk me through what's been going on?""
 • ""What's led up to this point where you're feeling not so well, would you be willing to share that with me?""
 • ""Can you help me understand the circumstances surrounding your current state of mind and body?""",0.10682827247639555,0.4864864864864865,0.893222987651825,0.2961516536011625,0.5,0.8788390755653381
1_1,"<think>

</think>

C: I see. Can you tell me more about how that feels—do you have difficulty getting in or out, or is it more about the process itself?","C: How annoying. You said “recently”, can you tell me how many days you have been struggling with this issue."," • ""Can you estimate how long it's been since you started experiencing difficulties transferring?""
 • ""How many days have you been having trouble moving from your wheelchair to bed?""
 • ""I'd like to get a better sense of the timeline. How recently have these transfer issues been happening?""
 • ""You mentioned lately that you've been struggling, can you give me an idea of how long this has been going on for?""
 • ""How many days ago did you first notice the difficulty transferring from your wheelchair?""
 • ""Can you tell me approximately how long you've been having trouble moving around like this?""
 • ""I'm curious to know more about when these transfer issues started, can you give me a rough idea of the timeline?""
 • ""You said 'not so well' recently... can you be more specific about when that's been true for you with regards to transferring?""
 • ""How long have you been experiencing this difficulty in moving from your wheelchair to bed?""",0.05796535933595859,0.32,0.8597853183746338,0.09219630712470347,0.3043478260869565,0.8585757613182068
1_2,"<think>

</think>

C: I see. Have you noticed any specific times of day when it’s more difficult, like in the morning or evening?","C: OK. I’ll try my best to help you. So, can you elaborate a little further by telling me what exactly is limiting your ability to transfer from wheelchair to bed."," • ""Can you provide more details about what's making it difficult for you to transfer from your wheelchair to bed?""
 • ""What specific challenges are you facing when trying to move from your wheelchair to bed?""
 • ""Elaborate on what's limiting your ability to transfer safely and comfortably.""
 • ""Can you tell me more about the difficulties you're experiencing with transferring from your wheelchair?""
 • ""What physical factors or limitations are making it harder for you to get into bed from your wheelchair?""
 • ""Explain in greater detail why you're struggling to move from your wheelchair to bed.""
 • ""Describe what's been happening that makes it increasingly difficult for you to transfer.""
 • ""Can you clarify what's causing the problem when trying to transition from your wheelchair to bed?""
 • ""What changes or factors have contributed to making transferring more challenging for you?""",0.025743966576259558,0.10714285714285714,0.8537728786468506,0.0206275322750699,0.15,0.8522768020629883
1_3,"<think>

</think>

C: I understand. Have you noticed if there are specific parts of the transfer that feel more difficult—like getting up from the wheelchair, moving to the bed, or sitting down?","C: The lack of strength, does that have to do with your legs?"," • ""C: Is the weakness in your legs what's preventing you from transferring?""
 • ""C: Does this lack of strength have something to do with a problem with your lower extremities?""
 • ""C: Can I assume that the reason for your difficulty transferring is related to muscle weakness in your legs?""
 • ""C: Is it an issue with your leg muscles that's causing you trouble getting out of bed?""
 • ""C: Does this loss of strength have anything to do with your ability to stand or walk?""
 • ""C: Can I connect the dots and say that the lack of strength is due to a problem in your legs?""
 • ""C: Are your leg muscles no longer strong enough for you to transfer from your wheelchair to bed?""
 • ""C: Does this difficulty transferring stem from weakness in your lower limbs?""
 • ""C: Is it safe to say that the loss of strength you're experiencing is related to a problem with muscle power in your legs?""",0.023889803462089958,0.17391304347826086,0.8566465377807617,0.029374336289654007,0.27450980392156865,0.8716938495635986
1_4,"<think>

</think>

C: I see. Have you noticed any specific areas in your legs that feel weaker, or is it more of a general lack of strength?",C: Has it become impossible to transfer or do you eventually get there?," • ""Do you still manage to transfer from your wheelchair to bed, or have you given up trying?""
 • ""Is transferring from your wheelchair to bed no longer possible for you?""
 • ""Have you lost all ability to transfer yourself, or do you just struggle with it?""
 • ""Can you usually make it to your bed, but only with great effort?""
 • ""Has the difficulty in transferring become so severe that you can't even try anymore?""
 • ""Are you unable to complete a successful transfer from your wheelchair to bed?""
 • ""Do you find yourself unable to transfer at all, or is it just extremely challenging?""
 • ""Have your attempts at transferring become futile?""
 • ""Is the lack of strength making it impossible for you to move from your wheelchair to bed?""",0.026988233895132607,0.1,0.8570979237556458,0.11554716243103429,0.19047619047619047,0.861380398273468
1_5,"<think>

</think>

C: I’m so sorry to hear that. Have you noticed any changes in your energy levels or fatigue patterns recently?",C: Where in the process of transferring does it go wrong? Are you able to stand up from your chair?," • ""C: Can you describe the point at which transferring from your wheelchair to bed becomes too difficult?""
 • ""C: Where exactly do you struggle when trying to transfer, is it getting up from the chair or something else?""
 • ""C: What specific part of the transfer process has become a problem for you?""
 • ""C: When you're attempting to get out of your wheelchair and into bed, what's the exact point where you encounter difficulties?""
 • ""C: Can you pinpoint the moment when transferring from chair to bed becomes impossible for you?""
 • ""C: Is it the act of standing up from the chair that's become a problem or is it something else entirely?""
 • ""C: Describe the process of transferring and tell me where things go wrong for you.""
 • ""C: At what stage in the transfer do you feel like you're unable to continue?""
 • ""C: Can you walk me through the steps involved in transferring from your chair to bed and identify exactly where you get stuck?""",0.033961882197738325,0.13953488372093023,0.8437856435775757,0.036164117246195164,0.17391304347826086,0.8560712933540344
1_6,"<think>

</think>

C: That sounds really challenging. Do you feel any pain or discomfort when trying to stand, or is it just the lack of strength?","C: That sounds very frustrating, has that taken a large toll on you?"," • ""C: That must have been extremely distressing for you, has it?""
 • ""C: I can imagine how frustrating this must be for you, is it affecting your mood significantly?""
 • ""C: It sounds like a real challenge, are you feeling overwhelmed by it?""
 • ""C: You've had to deal with this issue for quite some time now, how has that impacted your well-being?""
 • ""C: I can understand why you'd be upset about this, has it caused you any emotional distress?""
 • ""C: That's really tough, have you noticed a significant change in your mood or emotional state because of it?""
 • ""C: It must be really hard to cope with, are you feeling like this is taking a lot out of you emotionally?""
 • ""C: I'm sure this has been stressful for you, how has it affected your daily life and routine?""
 • ""C: You've had to adapt to this situation, but I imagine it's still causing some difficulties, is that right?""",0.07603430887294235,0.20512820512820515,0.8785567283630371,0.06393697776755095,0.30769230769230776,0.886857271194458
1_7,"<think>

</think>

C: I understand how difficult this must be, especially living alone. Have you considered using any type of transfer aid or equipment to help with the process?",C: I understand. Do you have any other feelings regarding your current condition?," • ""C: Can you express any other emotions related to your current situation?""
 • ""C: Are there any other feelings you'd like to share about how you're coping with this issue?""
 • ""C: How do you feel about needing assistance from others due to your physical limitations?""
 • ""C: Is there anything else on your mind regarding your current condition that you haven't mentioned yet?""
 • ""C: Are there any other concerns or anxieties related to transferring from your wheelchair to bed that I should be aware of?""
 • ""C: Can you describe the emotional impact this has had on your daily life and relationships?""
 • ""C: How have you been managing your feelings about losing independence due to your physical limitations?""
 • ""C: Are there any other aspects of your situation that are causing you distress or frustration?""
 • ""C: Have you noticed any changes in your mood or emotional state since experiencing difficulties with transferring from your wheelchair to bed?""",0.07214750931028721,0.23809523809523808,0.8690017461776733,0.03814335153675412,0.23529411764705882,0.8629990220069885
2_8,"<think>

</think>

C: Nice to meet you, Sarah. How can I help you today?","C: Since this is the first time we meet, is it okay if I ask a few personal questions?"," • ""Considering we've never met before, is it alright if I ask you a few personal questions?""
 • ""Since we're just meeting for the first time, would you be comfortable answering some personal questions?""
 • ""May I ask you some personal questions since this is our initial consultation?""
 • ""I'd like to clarify that everything discussed will remain confidential, but may I ask a few personal questions to get started?""
 • ""Given we've just met, I wanted to check with you before asking any personal questions, if that's alright?""
 • ""As we're starting from scratch, would it be okay if I asked some personal questions during our time today?""
 • ""Just a heads up, I'll need to ask some personal questions as part of your appointment – is that fine with you?""
 • ""Since this is the first time we've spoken, may I respectfully ask a few personal questions to better understand your situation?""
 • ""Before we begin, would it be okay if I inquired about a few personal matters related to your health?""",0.04334264033674369,0.18181818181818182,0.8436226844787598,0.04334264033674369,0.14814814814814817,0.8392769694328308
2_9,"<think>

</think>

C: Great. Could you tell me a bit about how you're feeling today? Are there any specific activities or tasks that are challenging for you right now?","C: OK. So, how old are and could you describe your living environment."," • ""Could you tell me your age and a bit about where you live?""
 • ""How old are you, and what can you tell me about your living situation?""
 • ""What is your age, and could you describe your home environment to me?""
 • ""OK, so let's start with some basic info - how old are you, and do you have a family or live alone?""
 • ""Can you give me an idea of your age range, and what kind of living arrangements do you have?""
 • ""How old are you, and could you tell me about the place where you reside?""
 • ""What's your age, and can you describe your daily living environment to me?""
 • ""So, how old are you, and what can you tell me about your home life?""
 • ""Could you please share your age with me, and give me some information about your living situation?""",0.025507996539511826,0.18604651162790697,0.8713704347610474,0.10039894744886725,0.37209302325581395,0.8664594292640686
