sample_id,prediction,gold_reference,variant_references,BLEU_gold,ROUGE-L_gold,BERTScore_F1_gold,BLEU_variants,ROUGE-L_variants,BERTScore_F1_variants
1_0,C: Can you tell me a bit more about what's been going on?,"C: I’m sorry to hear that, can you explain why that is the case?"," • ""Can you tell me what's been going on and why you're feeling that way?""
 • ""What's been bothering you lately, can you explain it to me?""
 • ""I'm concerned about your well-being; could you share more about what's been troubling you?""
 • ""You mentioned you haven't been doing well; can you elaborate on the reasons behind that?""
 • ""Can you give me some context about why things have been difficult for you lately?""
 • ""How are you experiencing these challenges, and what do you think is contributing to them?""
 • ""I'd like to better understand your situation; can you walk me through what's been going on?""
 • ""What's led up to this point where you're feeling not so well, would you be willing to share that with me?""
 • ""Can you help me understand the circumstances surrounding your current state of mind and body?""",0.054701671470962526,0.20689655172413796,0.9044464230537415,0.539339630419803,0.6000000000000001,0.9135636687278748
1_1,C: That sounds really challenging. Can you tell me more about what makes it difficult for you? Is there anything specific that’s making the transfer harder?,"C: How annoying. You said “recently”, can you tell me how many days you have been struggling with this issue."," • ""Can you estimate how long it's been since you started experiencing difficulties transferring?""
 • ""How many days have you been having trouble moving from your wheelchair to bed?""
 • ""I'd like to get a better sense of the timeline. How recently have these transfer issues been happening?""
 • ""You mentioned lately that you've been struggling, can you give me an idea of how long this has been going on for?""
 • ""How many days ago did you first notice the difficulty transferring from your wheelchair?""
 • ""Can you tell me approximately how long you've been having trouble moving around like this?""
 • ""I'm curious to know more about when these transfer issues started, can you give me a rough idea of the timeline?""
 • ""You said 'not so well' recently... can you be more specific about when that's been true for you with regards to transferring?""
 • ""How long have you been experiencing this difficulty in moving from your wheelchair to bed?""",0.06321018519493676,0.25531914893617025,0.889356255531311,0.11857020645058956,0.27999999999999997,0.8894681930541992
1_2,C: I see. Is there anything specific that happens during the transfer which makes it more challenging for you?,"C: OK. I’ll try my best to help you. So, can you elaborate a little further by telling me what exactly is limiting your ability to transfer from wheelchair to bed."," • ""Can you provide more details about what's making it difficult for you to transfer from your wheelchair to bed?""
 • ""What specific challenges are you facing when trying to move from your wheelchair to bed?""
 • ""Elaborate on what's limiting your ability to transfer safely and comfortably.""
 • ""Can you tell me more about the difficulties you're experiencing with transferring from your wheelchair?""
 • ""What physical factors or limitations are making it harder for you to get into bed from your wheelchair?""
 • ""Explain in greater detail why you're struggling to move from your wheelchair to bed.""
 • ""Describe what's been happening that makes it increasingly difficult for you to transfer.""
 • ""Can you clarify what's causing the problem when trying to transition from your wheelchair to bed?""
 • ""What changes or factors have contributed to making transferring more challenging for you?""",0.022987640440861132,0.1568627450980392,0.8786745667457581,0.2127988282044162,0.3125,0.8963887691497803
1_3,C: That must be very frustrating for you. Have there been any specific situations or times in which this has become more challenging?,"C: The lack of strength, does that have to do with your legs?"," • ""C: Is the weakness in your legs what's preventing you from transferring?""
 • ""C: Does this lack of strength have something to do with a problem with your lower extremities?""
 • ""C: Can I assume that the reason for your difficulty transferring is related to muscle weakness in your legs?""
 • ""C: Is it an issue with your leg muscles that's causing you trouble getting out of bed?""
 • ""C: Does this loss of strength have anything to do with your ability to stand or walk?""
 • ""C: Can I connect the dots and say that the lack of strength is due to a problem in your legs?""
 • ""C: Are your leg muscles no longer strong enough for you to transfer from your wheelchair to bed?""
 • ""C: Does this difficulty transferring stem from weakness in your lower limbs?""
 • ""C: Is it safe to say that the loss of strength you're experiencing is related to a problem with muscle power in your legs?""",0.03197383344450448,0.16666666666666669,0.8874413371086121,0.048589719316429775,0.1904761904761905,0.8808659911155701
1_4,"C: Can you describe the specific situation where this is happening? For example, are there certain surfaces that make it more difficult for you to transfer?",C: Has it become impossible to transfer or do you eventually get there?," • ""Do you still manage to transfer from your wheelchair to bed, or have you given up trying?""
 • ""Is transferring from your wheelchair to bed no longer possible for you?""
 • ""Have you lost all ability to transfer yourself, or do you just struggle with it?""
 • ""Can you usually make it to your bed, but only with great effort?""
 • ""Has the difficulty in transferring become so severe that you can't even try anymore?""
 • ""Are you unable to complete a successful transfer from your wheelchair to bed?""
 • ""Do you find yourself unable to transfer at all, or is it just extremely challenging?""
 • ""Have your attempts at transferring become futile?""
 • ""Is the lack of strength making it impossible for you to move from your wheelchair to bed?""",0.04175872565419194,0.20512820512820515,0.8948493599891663,0.08384179702790083,0.2790697674418605,0.8842771053314209
1_5,"C: That must be very frustrating for you. Do you feel like there are any other factors that might make transferring more difficult, such as a lack of space or lighting?",C: Where in the process of transferring does it go wrong? Are you able to stand up from your chair?," • ""C: Can you describe the point at which transferring from your wheelchair to bed becomes too difficult?""
 • ""C: Where exactly do you struggle when trying to transfer, is it getting up from the chair or something else?""
 • ""C: What specific part of the transfer process has become a problem for you?""
 • ""C: When you're attempting to get out of your wheelchair and into bed, what's the exact point where you encounter difficulties?""
 • ""C: Can you pinpoint the moment when transferring from chair to bed becomes impossible for you?""
 • ""C: Is it the act of standing up from the chair that's become a problem or is it something else entirely?""
 • ""C: Describe the process of transferring and tell me where things go wrong for you.""
 • ""C: At what stage in the transfer do you feel like you're unable to continue?""
 • ""C: Can you walk me through the steps involved in transferring from your chair to bed and identify exactly where you get stuck?""",0.027794738724637277,0.0784313725490196,0.8815709948539734,0.0878946813391374,0.2127659574468085,0.8954066038131714
1_6,C: That sounds really tough. Have you tried using any equipment like grab bars or a walker to help with the transfer?,"C: That sounds very frustrating, has that taken a large toll on you?"," • ""C: That must have been extremely distressing for you, has it?""
 • ""C: I can imagine how frustrating this must be for you, is it affecting your mood significantly?""
 • ""C: It sounds like a real challenge, are you feeling overwhelmed by it?""
 • ""C: You've had to deal with this issue for quite some time now, how has that impacted your well-being?""
 • ""C: I can understand why you'd be upset about this, has it caused you any emotional distress?""
 • ""C: That's really tough, have you noticed a significant change in your mood or emotional state because of it?""
 • ""C: It must be really hard to cope with, are you feeling like this is taking a lot out of you emotionally?""
 • ""C: I'm sure this has been stressful for you, how has it affected your daily life and routine?""
 • ""C: You've had to adapt to this situation, but I imagine it's still causing some difficulties, is that right?""",0.10845182904139568,0.2285714285714286,0.9050261378288269,0.09119675426861835,0.3333333333333333,0.9002498984336853
1_7,C: How do you feel about needing to rely on others for this kind of assistance?,C: I understand. Do you have any other feelings regarding your current condition?," • ""C: Can you express any other emotions related to your current situation?""
 • ""C: Are there any other feelings you'd like to share about how you're coping with this issue?""
 • ""C: How do you feel about needing assistance from others due to your physical limitations?""
 • ""C: Is there anything else on your mind regarding your current condition that you haven't mentioned yet?""
 • ""C: Are there any other concerns or anxieties related to transferring from your wheelchair to bed that I should be aware of?""
 • ""C: Can you describe the emotional impact this has had on your daily life and relationships?""
 • ""C: How have you been managing your feelings about losing independence due to your physical limitations?""
 • ""C: Are there any other aspects of your situation that are causing you distress or frustration?""
 • ""C: Have you noticed any changes in your mood or emotional state since experiencing difficulties with transferring from your wheelchair to bed?""",0.0510809933294318,0.27586206896551724,0.8948481678962708,0.43049389821809064,0.5161290322580646,0.9362127780914307
2_8,"C: It’s a pleasure to meet you, Sarah. Can I start by asking how old you are?","C: Since this is the first time we meet, is it okay if I ask a few personal questions?"," • ""Considering we've never met before, is it alright if I ask you a few personal questions?""
 • ""Since we're just meeting for the first time, would you be comfortable answering some personal questions?""
 • ""May I ask you some personal questions since this is our initial consultation?""
 • ""I'd like to clarify that everything discussed will remain confidential, but may I ask a few personal questions to get started?""
 • ""Given we've just met, I wanted to check with you before asking any personal questions, if that's alright?""
 • ""As we're starting from scratch, would it be okay if I asked some personal questions during our time today?""
 • ""Just a heads up, I'll need to ask some personal questions as part of your appointment – is that fine with you?""
 • ""Since this is the first time we've spoken, may I respectfully ask a few personal questions to better understand your situation?""
 • ""Before we begin, would it be okay if I inquired about a few personal matters related to your health?""",0.047369900721408766,0.21621621621621623,0.8909347057342529,0.029540011999676513,0.22857142857142856,0.8808073401451111
2_9,"C: Alright, Sarah. How old are you?","C: OK. So, how old are and could you describe your living environment."," • ""Could you tell me your age and a bit about where you live?""
 • ""How old are you, and what can you tell me about your living situation?""
 • ""What is your age, and could you describe your home environment to me?""
 • ""OK, so let's start with some basic info - how old are you, and do you have a family or live alone?""
 • ""Can you give me an idea of your age range, and what kind of living arrangements do you have?""
 • ""How old are you, and could you tell me about the place where you reside?""
 • ""What's your age, and can you describe your daily living environment to me?""
 • ""So, how old are you, and what can you tell me about your home life?""
 • ""Could you please share your age with me, and give me some information about your living situation?""",0.07066271462409685,0.5,0.9206054210662842,0.16481158920498065,0.38095238095238093,0.9149916768074036
2_10,C: That’s lovely. What kind of activities do you enjoy doing in your free time?,C: What did you do for work?," • ""C: What was your occupation?""
 • ""C: How did you earn a living?""
 • ""C: What were your work responsibilities?""
 • ""C: Did you have a job or profession?""
 • ""C: Can you tell me about your previous employment?""
 • ""C: What kind of work did you do for most of your life?""
 • ""C: Were you employed full-time or part-time?""
 • ""C: What was your career path before retirement?""
 • ""C: How did you support yourself financially?""",0.05653041175801492,0.34782608695652173,0.9149773716926575,0.11643948477069975,0.4827586206896552,0.907992959022522
2_11,C: That’s wonderful! What kind of activities do you enjoy doing in your free time?,"C: Alright, so can you now tell me why you are here today?"," • ""Can you explain why you're here seeing me today?""
 • ""What brings you to my office today?""
 • ""So, what's the reason for your visit today?""
 • ""I'd like to understand why you've come in today.""
 • ""Can you tell me about what has led you to see a doctor today?""
 • ""What are the reasons behind your appointment with me today?""
 • ""May I ask what prompted you to schedule an appointment today?""
 • ""How can I assist you today, and what's been concerning you?""
 • ""Could you share with me why you've decided to come in for a consultation today?""",0.0510809933294318,0.13793103448275862,0.873784065246582,0.03211547431691929,0.17391304347826086,0.8686907887458801
