sample_id,gold_reference,variant_references,BLEU_gold_vs_variants,ROUGE-L_gold_vs_variants,BERTScore_F1_gold_vs_variants
1_0,"C: I’m sorry to hear that, can you explain why that is the case?"," • ""Can you tell me what's been going on and why you're feeling that way?""
 • ""What's been bothering you lately, can you explain it to me?""
 • ""I'm concerned about your well-being; could you share more about what's been troubling you?""
 • ""You mentioned you haven't been doing well; can you elaborate on the reasons behind that?""
 • ""Can you give me some context about why things have been difficult for you lately?""
 • ""How are you experiencing these challenges, and what do you think is contributing to them?""
 • ""I'd like to better understand your situation; can you walk me through what's been going on?""
 • ""What's led up to this point where you're feeling not so well, would you be willing to share that with me?""
 • ""Can you help me understand the circumstances surrounding your current state of mind and body?""",0.18002829271425153,0.19944304867196777,0.8992152810096741
1_1,"C: How annoying. You said “recently”, can you tell me how many days you have been struggling with this issue."," • ""Can you estimate how long it's been since you started experiencing difficulties transferring?""
 • ""How many days have you been having trouble moving from your wheelchair to bed?""
 • ""I'd like to get a better sense of the timeline. How recently have these transfer issues been happening?""
 • ""You mentioned lately that you've been struggling, can you give me an idea of how long this has been going on for?""
 • ""How many days ago did you first notice the difficulty transferring from your wheelchair?""
 • ""Can you tell me approximately how long you've been having trouble moving around like this?""
 • ""I'm curious to know more about when these transfer issues started, can you give me a rough idea of the timeline?""
 • ""You said 'not so well' recently... can you be more specific about when that's been true for you with regards to transferring?""
 • ""How long have you been experiencing this difficulty in moving from your wheelchair to bed?""",0.14495127624159795,0.2655953629049844,0.91319340467453
1_2,"C: OK. I’ll try my best to help you. So, can you elaborate a little further by telling me what exactly is limiting your ability to transfer from wheelchair to bed."," • ""Can you provide more details about what's making it difficult for you to transfer from your wheelchair to bed?""
 • ""What specific challenges are you facing when trying to move from your wheelchair to bed?""
 • ""Elaborate on what's limiting your ability to transfer safely and comfortably.""
 • ""Can you tell me more about the difficulties you're experiencing with transferring from your wheelchair?""
 • ""What physical factors or limitations are making it harder for you to get into bed from your wheelchair?""
 • ""Explain in greater detail why you're struggling to move from your wheelchair to bed.""
 • ""Describe what's been happening that makes it increasingly difficult for you to transfer.""
 • ""Can you clarify what's causing the problem when trying to transition from your wheelchair to bed?""
 • ""What changes or factors have contributed to making transferring more challenging for you?""",0.190759251898825,0.25077103967351094,0.9134397506713867
1_3,"C: The lack of strength, does that have to do with your legs?"," • ""C: Is the weakness in your legs what's preventing you from transferring?""
 • ""C: Does this lack of strength have something to do with a problem with your lower extremities?""
 • ""C: Can I assume that the reason for your difficulty transferring is related to muscle weakness in your legs?""
 • ""C: Is it an issue with your leg muscles that's causing you trouble getting out of bed?""
 • ""C: Does this loss of strength have anything to do with your ability to stand or walk?""
 • ""C: Can I connect the dots and say that the lack of strength is due to a problem in your legs?""
 • ""C: Are your leg muscles no longer strong enough for you to transfer from your wheelchair to bed?""
 • ""C: Does this difficulty transferring stem from weakness in your lower limbs?""
 • ""C: Is it safe to say that the loss of strength you're experiencing is related to a problem with muscle power in your legs?""",0.31239399369202553,0.3707532679027236,0.9419299364089966
1_4,C: Has it become impossible to transfer or do you eventually get there?," • ""Do you still manage to transfer from your wheelchair to bed, or have you given up trying?""
 • ""Is transferring from your wheelchair to bed no longer possible for you?""
 • ""Have you lost all ability to transfer yourself, or do you just struggle with it?""
 • ""Can you usually make it to your bed, but only with great effort?""
 • ""Has the difficulty in transferring become so severe that you can't even try anymore?""
 • ""Are you unable to complete a successful transfer from your wheelchair to bed?""
 • ""Do you find yourself unable to transfer at all, or is it just extremely challenging?""
 • ""Have your attempts at transferring become futile?""
 • ""Is the lack of strength making it impossible for you to move from your wheelchair to bed?""",0.1462806365365753,0.20223036223036223,0.9012894034385681
1_5,C: Where in the process of transferring does it go wrong? Are you able to stand up from your chair?," • ""C: Can you describe the point at which transferring from your wheelchair to bed becomes too difficult?""
 • ""C: Where exactly do you struggle when trying to transfer, is it getting up from the chair or something else?""
 • ""C: What specific part of the transfer process has become a problem for you?""
 • ""C: When you're attempting to get out of your wheelchair and into bed, what's the exact point where you encounter difficulties?""
 • ""C: Can you pinpoint the moment when transferring from chair to bed becomes impossible for you?""
 • ""C: Is it the act of standing up from the chair that's become a problem or is it something else entirely?""
 • ""C: Describe the process of transferring and tell me where things go wrong for you.""
 • ""C: At what stage in the transfer do you feel like you're unable to continue?""
 • ""C: Can you walk me through the steps involved in transferring from your chair to bed and identify exactly where you get stuck?""",0.2412588049712987,0.3024742187304887,0.9118292927742004
1_6,"C: That sounds very frustrating, has that taken a large toll on you?"," • ""C: That must have been extremely distressing for you, has it?""
 • ""C: I can imagine how frustrating this must be for you, is it affecting your mood significantly?""
 • ""C: It sounds like a real challenge, are you feeling overwhelmed by it?""
 • ""C: You've had to deal with this issue for quite some time now, how has that impacted your well-being?""
 • ""C: I can understand why you'd be upset about this, has it caused you any emotional distress?""
 • ""C: That's really tough, have you noticed a significant change in your mood or emotional state because of it?""
 • ""C: It must be really hard to cope with, are you feeling like this is taking a lot out of you emotionally?""
 • ""C: I'm sure this has been stressful for you, how has it affected your daily life and routine?""
 • ""C: You've had to adapt to this situation, but I imagine it's still causing some difficulties, is that right?""",0.14980800232509306,0.1984561216771843,0.9226471781730652
1_7,C: I understand. Do you have any other feelings regarding your current condition?," • ""C: Can you express any other emotions related to your current situation?""
 • ""C: Are there any other feelings you'd like to share about how you're coping with this issue?""
 • ""C: How do you feel about needing assistance from others due to your physical limitations?""
 • ""C: Is there anything else on your mind regarding your current condition that you haven't mentioned yet?""
 • ""C: Are there any other concerns or anxieties related to transferring from your wheelchair to bed that I should be aware of?""
 • ""C: Can you describe the emotional impact this has had on your daily life and relationships?""
 • ""C: How have you been managing your feelings about losing independence due to your physical limitations?""
 • ""C: Are there any other aspects of your situation that are causing you distress or frustration?""
 • ""C: Have you noticed any changes in your mood or emotional state since experiencing difficulties with transferring from your wheelchair to bed?""",0.2705411345269698,0.29172078323357525,0.9321773052215576
2_8,"C: Since this is the first time we meet, is it okay if I ask a few personal questions?"," • ""Considering we've never met before, is it alright if I ask you a few personal questions?""
 • ""Since we're just meeting for the first time, would you be comfortable answering some personal questions?""
 • ""May I ask you some personal questions since this is our initial consultation?""
 • ""I'd like to clarify that everything discussed will remain confidential, but may I ask a few personal questions to get started?""
 • ""Given we've just met, I wanted to check with you before asking any personal questions, if that's alright?""
 • ""As we're starting from scratch, would it be okay if I asked some personal questions during our time today?""
 • ""Just a heads up, I'll need to ask some personal questions as part of your appointment – is that fine with you?""
 • ""Since this is the first time we've spoken, may I respectfully ask a few personal questions to better understand your situation?""
 • ""Before we begin, would it be okay if I inquired about a few personal matters related to your health?""",0.5728800666481678,0.3720621562940776,0.9473569989204407
2_9,"C: OK. So, how old are and could you describe your living environment."," • ""Could you tell me your age and a bit about where you live?""
 • ""How old are you, and what can you tell me about your living situation?""
 • ""What is your age, and could you describe your home environment to me?""
 • ""OK, so let's start with some basic info - how old are you, and do you have a family or live alone?""
 • ""Can you give me an idea of your age range, and what kind of living arrangements do you have?""
 • ""How old are you, and could you tell me about the place where you reside?""
 • ""What's your age, and can you describe your daily living environment to me?""
 • ""So, how old are you, and what can you tell me about your home life?""
 • ""Could you please share your age with me, and give me some information about your living situation?""",0.48343890640017934,0.39689718717496497,0.9179091453552246
